entity_id,summary,biography,contribution,level
champakalata,"Одна из восьми главных сакхи Радхарани, сияющая золотом цветка чампака; верная подруга в играх Вриндавана.","Шри Чампакалата — одна из восьми ближайших подруг (ашта-сакхи) Шримати Радхарани и героиня Кришна Лилы. Цвет её тела подобен золотистому цветку чампака, в честь которого она и названа.","Чампакалата искусна во многих видах служения — в садоводстве, приготовлении бетеля (тамбулы) и различных лакомств. Возглавляя свою группу гопи, она всем сердцем предана Радхарани и неустанно устраивает любовные игры Божественной Четы во Вриндаване.",gold
tungavidya,"Одна из восьми главных сакхи Радхарани; искуснейшая в музыке, танце и шестидесяти четырёх искусствах.",Шри Тунгавидья — одна из восьми ближайших подруг (ашта-сакхи) Шримати Радхарани и героиня Кришна Лилы. Среди сакхи она прославлена как самая учёная и сведущая в искусствах.,"Тунгавидья в совершенстве владеет шестьюдесятью четырьмя искусствами, особенно музыкой, игрой на вине, танцем и драмой, а также знанием писаний. Своим искусством она услаждает Радху и Кришну и наставляет других гопи, неустанно служа Божественной Чете во Вриндаване.",gold
indulekha,"Одна из восьми главных сакхи Радхарани; искусница украшений, гирлянд и сокровенных мантр.","Шри Индулекха — одна из восьми ближайших подруг (ашта-сакхи) Шримати Радхарани и героиня Кришна Лилы, входящая в самый сокровенный круг гопи.","Индулекха искусна в плетении гирлянд и изготовлении украшений, в знании драгоценных камней и сокровенных мантр, а также в передаче посланий. Все эти умения она обращает на служение Радхе и Кришне, украшая Их и устраивая Их встречи во Вриндаване.",gold
rangadevi,"Одна из восьми главных сакхи Радхарани; сестра Судеви, искусная в сокровенных мантрах любви.",Шри Рангадеви — одна из восьми ближайших подруг (ашта-сакхи) Шримати Радхарани и героиня Кришна Лилы. Вместе со своей сестрой Судеви она входит в сокровенный круг гопи.,"Рангадеви сведуща в сокровенных мантрах и тонком искусстве привлечения, которыми она содействует встречам Радхи и Кришны. Возглавляя свою группу гопи, она всем сердцем предана Радхарани и служит Божественной Чете во Вриндаване.",gold
sudevi,"Одна из восьми главных сакхи Радхарани; сестра Рангадеви, искусная в убранстве рощ и приготовлении встреч.",Шри Судеви — одна из восьми ближайших подруг (ашта-сакхи) Шримати Радхарани и героиня Кришна Лилы. Вместе со своей сестрой Рангадеви она входит в сокровенный круг гопи.,"Судеви искусна в убранстве рощ (кунджей), в приготовлении мест для встреч Радхи и Кришны и в тайных знаках и сигналах. Возглавляя свою группу гопи, она неустанно украшает и устраивает любовные игры Божественной Четы во Вриндаване.",gold
bilvamangala,Билвамангала Тхакур (Лила-шука) — святой-поэт Южной Индии.,"Билвамангала Тхакур, прозванный Лила-шукой, прошёл путь от чувственной жизни к чистой любви к Кришне. Его «Кришна-карнамрита» воспевает сладость Господа Вриндавана.",Автор «Кришна-карнамриты» — нектарного созерцания красоты Кришны. Шри Чайтанья нашёл рукопись на юге Индии и принёс её Своим спутникам; поэма стала одним из самых дорогих писаний Гаудия-сампрадаи.,gold
yamunacharya,Шри Ямуначарья (Алавандар) — ачарья Шри-сампрадаи до Рамануджи.,"Шри Ямуначарья, внук Натхамуни, возглавил Шри-сампрадаю и своими молитвами и трудами заложил основу вишишта-адвайты.",Автор «Стотра-ратны»; предшественник Рамануджи.,gold
vallabhacharya,"Шри Валлабхачарья — основатель Пушти-марги (Рудра-сампрадая), проповедник шуддха-адвайты и поклонения Шринатхджи.","Великий вайшнавский ачарья (1479–1531) из южноиндийской брахманской семьи, основатель Пушти-марги («путь милости») — ветви Рудра-сампрадаи (Вишну-свами). В традиции гаудия-вайшнавов отождествляется с Валлабхой Бхаттой из «Чайтанья-чаритамриты».",Основатель Пушти-марги и поклонения Шринатхджи; автор «Субодхини-тики» к «Бхагаватам».,gold
vedanta-desika,Шри Веданта Дешика — выдающийся ачарья Шри-сампрадаи.,"Шри Веданта Дешика прославился как поэт, логик и защитник учения Рамануджи, оставив множество трудов Шри-вайшнавов.",Автор «Рахасья-трая-сары» и многих трудов Шри-сампрадаи.,gold
satyavrata-muni,"Сатьяврата Муни — мудрец, певец славы Господа Дамодары.","Сатьяврата Муни — мудрец, чья молитва «Дамодараштака» из «Падма-пураны» поётся преданными весь месяц Картика.",Ему приписывается «Дамодараштака».,gold
shandilya-muni,"Шандилья Муни — древний мудрец, систематизатор науки бхакти.","Шандилья Муни — древний риши, изложивший науку преданного служения в кратких афоризмах.",Автор «Шандилья-бхакти-сутры».,gold
vishnupriya,Супруга Шри Чайтаньи и олицетворение преданности в разлуке; всю жизнь после Его санньясы посвятила служению и святому имени.,"Шримати Вишнуприя-деви — супруга Шри Чайтаньи Махапрабху, дочь Санатаны Мишры. Она почитается как высший образец преданности в разлуке (вирахи) с Господом.","Когда Шри Чайтанья принял санньясу, юная Вишнуприя посвятила всю свою оставшуюся жизнь поклонению Ему и непрестанному воспеванию святого имени. Она повторяла имена Господа, откладывая по зёрнышку риса за каждое повторение, и тем питалась, живя в полной аскезе и преданности. Она почитала Божество Шри Чайтаньи и являет совершенный образец любви, очищенной разлукой.",gold
lakshmipriya,"Первая супруга Шри Чайтаньи, дочь брахмана Валлабхачарьи Навадвипы; воплощение богини процветания.","Шримати Лакшмиприя-деви — первая супруга Шри Чайтаньи Махапрабху, дочь навадвипского брахмана Валлабхачарьи. Её почитают как воплощение богини процветания, вечной супруги Господа.","Лакшмиприя была первой женой Шри Чайтаньи, целомудренной и преданной. Пока Господь странствовал по Восточной Бенгалии, она в разлуке с Ним покинула этот мир. Её краткая жизнь явила совершенную преданность супругу; как воплощение Лакшми, она вечно связана с Господом.",gold
jahnavi-devi,"Супруга Нитьянанды Прабху, мать Вирачандры; после ухода Господа стала почитаемой наставницей гаудия-вайшнавов.",Шри Джахнави-деви — супруга Нитьянанды Прабху и мать Вирачандры. После ухода Нитьянанды она стала одной из самых почитаемых духовных наставниц гаудия-вайшнавской общины.,"Джахнави-деви приняла на себя духовное водительство преданных, даруя посвящение и наставление множеству душ и поддерживая единство общины. Её авторитет и преданность были столь велики, что вайшнавы во всех краях чтили её как великую духовную мать. Она являет редкий образец женщины-ачарьи, продолжившей миссию Господа.",gold
vasudha-devi,"Супруга Нитьянанды Прабху и преданная спутница, разделявшая Его миссию.","Шри Васудха-деви — супруга Нитьянанды Прабху и сестра Джахнави-деви. Она была великой преданной, разделявшей служение и миссию Господа Нитьянанды.","Васудха-деви, неотлучная спутница Нитьянанды, посвятила себя служению Господу и поддержанию Его дела. Через её семью продолжилась линия Нитьянанды Прабху. Её преданность являет образец супруги, целиком отдавшей себя служению Господу и Его миссии.",gold
gauridasa-pandit,"Преданный из Амбика-калны, близкий Нитьянанде; его Божествам Гаура-Нитай Сами Господа ответили любовью.",Шри Гауридаса Пандит — великий преданный из Амбика-калны и близкий спутник Нитьянанды Прабху и Шри Чайтаньи. В играх Кришны его отождествляют с пастушком Субалой.,"Гауридаса Пандит получил и с великой любовью почитал Божества Гаура-Нитай — Шри Чайтаньи и Нитьянанды. По преданию, Сами Господа отвечали на его любовь дивным образом, как живые принимая его служение. Его преданность являет, как Господь Сам нисходит к тому, кто любит Его без остатка.",gold
raghava-pandit,"Преданный, чьи подношения с любовью вкушал Господь; знаменитые „мешки Рагхавы“ с яствами для Махапрабху.","Шри Рагхава Пандит — близкий спутник Шри Чайтаньи, в чьём доме собирались преданные. Вместе со своей сестрой Дамаянти он с великой любовью готовил для Господа разнообразные яства.","Дамаянти, сестра Рагхавы, с безупречной чистотой и преданностью готовила для Шри Чайтаньи множество лакомств, солений и сладостей, которые бережно укладывались в мешки. Эти знаменитые „мешки Рагхавы“ (Рагхавер джхали) каждый год доставлялись Господу в Пури. Их служение являет высший образец любви, выраженной в заботливом подношении.",gold
gopinatha-acharya,"Шри Гопинатха Ачарья — спутник Махапрабху, шурин Сарвабхаумы.","Шри Гопинатха Ачарья помог обратить Сарвабхауму Бхаттачарью, твёрдо провозглашая Махапрабху Самим Господом.",Способствовал обращению Сарвабхаумы Бхаттачарьи.,gold
narahari-sarakara-thakur,"Великий преданный и поэт Шрикханды, сложивший множество песен во славу Гауранги; глава общины преданных Шрикханды.","Шри Нарахари Саракара Тхакур — великий преданный и поэт из Шрикханды, сложивший множество вдохновенных песен во славу Господа. Он был главой общины преданных Шрикханды.","Нарахари Саракара прославился сладостными песнями, воспевающими Гаурангу и игры Господа; многие из них и поныне поют вайшнавы. Как один из вождей преданных Шрикханды, он вдохновлял других на путь любви к Богу. Его поэзия и преданность стали драгоценным вкладом в сокровищницу гаудия-вайшнавской традиции.",gold
govinda-ghosh,Прославленный киртания Шри Чайтаньи из трёх братьев Гхош; Господь Гопинатха Сам совершает его поминальный обряд.,"Шри Говинда Гхош — один из трёх братьев Гхош (вместе с Мадхавой и Васудевой), прославленных певцов-киртаний Шри Чайтаньи и Нитьянанды. Его пение наполняло санкиртану особой сладостью.","Говинда Гхош и его братья вели киртан, под который танцевал Сам Махапрабху. Не имея сына, который совершил бы его поминальный обряд (шраддху), Говинда Гхош тревожился, но Господь Гопинатха в Аградвипе принял его как Своего сына и поныне Сам совершает его шраддху каждый год. Так Господь явил, что чистому преданному Он Сам становится всем.",gold
vasudeva-ghosh,"Шри Васудева Гхош — младший из трёх братьев Гхош, вечный спутник Господа и пламенный певец Гауры.","Шри Васудева Гхош прославился вдохновенными песнями о Шри Чайтанье и Нитьянанде, которые доныне поют вайшнавы Бенгалии.",Сложил любимые песни о Гауре-Нитае.,gold
damodara-pandit,"Прямодушный преданный, чья откровенная любовь не страшилась говорить Господу правду; хранитель Шачиматы.","Шри Дамодара Пандит — близкий спутник Шри Чайтаньи, прославившийся прямотой и бесстрашием своей любви к Господу.","Дамодара Пандит был так предан Господу, что из глубокой любви однажды открыто предостерёг Его, опасаясь, что поступки Махапрабху дадут повод к пересудам. Господь не оскорбился, но оценил его искренность. Позднее Махапрабху послал Дамодару в Навадвипу заботиться о Своей матери, Шачидеви, доверив ему самое дорогое.",gold
kashishvara,"Могучий преданный, ученик Ишвары Пури, лично служивший Шри Чайтанье и расчищавший Ему путь среди толп.","Шри Кашишвара — могучий преданный и ученик Ишвары Пури, лично служивший Шри Чайтанье Махапрабху.","Наделённый недюжинной телесной силой, Кашишвара служил Господу, расчищая Ему путь среди толп паломников в храме Джаганнатхи, чтобы Махапрабху мог беспрепятственно созерцать Господа. Как ученик Ишвары Пури, духовного учителя Чайтаньи, он был особенно дорог Господу. Его жизнь являет образец преданного личного служения Махапрабху.",gold
rukmini,"Главная царица Кришны в Двараке и воплощение богини процветания; образец чистой, преданной супруги.","Шримати Рукмини — главная царица Шри Кришны в Двараке и воплощение богини процветания (Лакшми). Дочь царя Бхишмаки из Видарбхи, она избрала своим супругом одного лишь Кришну.","Услышав о качествах Кришны, Рукмини твёрдо решила выйти замуж только за Него и тайно послала Ему письмо с мольбой увезти её до насильной свадьбы с Шишупалой. Кришна явился, на глазах у соперников увёз её и женился на ней в Двараке. Она служила Господу с безупречной преданностью, и даже когда Он испытывал её суровыми словами, её любовь оставалась непоколебимой. Она — мать Прадьюмны и образец целомудренной, любящей супруги.",gold
satyabhama,"Одна из восьми главных цариц Кришны; пылкая и гордая в любви, ради которой Господь принёс с небес дерево париджата.","Шримати Сатьябхама — одна из восьми главных цариц Шри Кришны в Двараке, дочь Сатраджита. Её любовь к Господу исполнена пылкости и нежной гордости.","История Сатьябхамы связана с драгоценным камнем Сьямантака: после череды недоразумений Кришна очистил Своё имя и женился на ней. Чтобы порадовать её, Он принёс с райских планет дерево париджата. Её гордая, требовательная любовь придаёт особую сладость играм Господа; она сопровождала Кришну в битве, в которой был сражён демон Наракасура.",gold
pradyumna,"Третья из чатур-вьюхи, повелевающая разумом; в играх Кришны — Его сын от Рукмини, воплощение Камадевы, победитель Шамбары.","Господь Прадьюмна — третья из чатур-вьюхи, повелевающая разумом (буддхи). В играх Кришны Он являет Себя как сын Господа, рождённый от Рукмини, и считается воплощением Камадевы.","Будучи частью чатур-вьюхи, Прадьюмна в Кришна-лиле родился как сын Кришны и Рукмини. Ещё младенцем он был похищен демоном Шамбарой и брошен в океан, но выжил, вырос и в конце концов сразил Шамбару, вернувшись в Двараку с супругой. Так он явил, что даже как сын Господа Он — могущественная экспансия Самого Бога.",gold
aniruddha,"Четвёртая из чатур-вьюхи, повелевающая умом; в играх Кришны — Его внук, сын Прадьюмны; история с Ушей и Банасурой.","Господь Анируддха — четвёртая из чатур-вьюхи, повелевающая умом (манасом). В играх Кришны Он являет Себя как внук Господа, сын Прадьюмны.","Будучи частью чатур-вьюхи, Анируддха в Кришна-лиле родился как внук Кришны. Известна история его тайного союза с царевной Ушей, дочерью демона Банасуры: схваченный Банасурой, Анируддха был освобождён, когда Сам Кришна явился и сразил демона в битве. Так игры Анируддхи являют могущество Господа и Его любовь к Своим близким.",gold
sita,Вечная супруга Господа Рамачандры и воплощение Лакшми; высший образец целомудрия и преданности.,"Шримати Сита-деви — вечная супруга Господа Рамачандры и воплощение богини процветания Лакшми. Дочь царя Джанаки, она явила миру высший образец целомудрия, верности и преданности Господу.","Джанака нашёл Ситу младенцем в борозде во время вспашки земли, и потому её назвали Сита. Своим супругом она избрала Раму, когда Он сломал божественный лук Шивы. Когда демон Равана похитил её и удерживал в плену, она оставалась совершенно чистой и непоколебимо верной Раме, храня Его в сердце. Защищённая силой собственного целомудрия, она почитается как идеал преданной и верной супруги.",gold
lakshmana,Преданный младший брат Господа Рамачандры и распространение Санкаршаны; олицетворение братской преданности и служения.,Шри Лакшмана — преданный младший брат Господа Рамачандры и распространение Санкаршаны (Ананты-Шеши). Он являет собой совершенный образец братской любви и неустанного служения.,"Когда Раму изгнали в лес, Лакшмана, оставив все удобства, последовал за Ним и Ситой, чтобы служить им. В изгнании он неустанно заботился о них, отказавшись от сна, чтобы охранять их по ночам. Он сражался бок о бок с Рамой против демонов и во всём был Ему опорой. Лакшмана — олицетворение бескорыстного служения и братской преданности, всецело поглощённый служением Господу Раме.",gold
shatrughna,"Младший брат Господа Рамы, близнец Лакшманы; сразил демона Лавану и основал священный город Матхуру.","Шри Шатругхна — младший из четырёх братьев, сын царицы Сумитры и близнец Лакшманы. Если Лакшмана служил Раме, то Шатругхна стал преданным спутником Бхараты, разделяя его служение Господу в разлуке.","Когда Рама воцарился в Айодхье, Он поручил Шатругхне сразить грозного демона Лавану, сына Мадху. Шатругхна исполнил волю Господа, убил демона и на месте его царства основал священный город Матхуру — будущую обитель игр Кришны. Так младший брат Рамы соединил две великие лилы Господа, что отмечено в «Шримад-Бхагаватам».",gold
sugriva,"Один из четырёх божественных коней Господа Кришны, влекущих Его колесницу.","Шри Сугрива — один из четырёх дивных коней, влекущих колесницу Господа Кришны, наряду с Шайбьей, Мегхапушпой и Балахакой. Нести колесницу Господа — его вечное счастье.","Сугрива и другие кони Кришны мчат Его колесницу с быстротой ветра, куда бы Он ни пожелал — будь то поле битвы или Его игры. Их служение являет, что даже в облике животного душа может с радостью и преданностью служить Господу, и такое служение в высшей степени дорого Ему.",gold
vibhishana,"Вибхишана — брат Раваны, предавшийся Господу Раме.","Вибхишана, праведный брат Раваны, покинул Ланку и предался Раме, став после победы её царём.",Образец предания Господу вопреки родственным узам.,gold
jatayu,"Джатаю — царь птиц, отдавший жизнь за Ситу.","Джатаю, благородный орёл, сразился с Раваной, пытаясь спасти Ситу, и пал, удостоившись освобождения от рук Самого Рамы.","Отдал жизнь, служа Господу; обрёл Его милость.",gold
dasharatha,"Царь Айодхьи из Солнечной династии, отец Господа Рамачандры; верный данному слову, он отправил сына в изгнание и умер от разлуки с Ним.","Шри Дашаратха — праведный царь Айодхьи, потомок Солнечной династии Икшваку и Рагху. Долго не имея наследника, он совершил великое жертвоприношение, и у его цариц родились четыре сына, старшим из которых был Сам Верховный Господь — Рамачандра.","Связанный давним обещанием царице Кайкейи, Дашаратха был вынужден отправить любимого сына Раму в четырнадцатилетнее изгнание и возвести на трон Бхарату. Не вынеся разлуки с Рамой, царь вскоре умер от горя. Верность слову даже ценою собственной жизни сделала Дашаратху образцом царственной чести, а его сыновство Господу прославлено в «Шримад-Бхагаватам».",gold
yudhishthira,"Махараджа Юдхиштхира — старший Пандав, царь дхармы.","Махараджа Юдхиштхира, сын Дхармы, прославился безупречной правдивостью; Кришна возвёл его на трон после битвы на Курукшетре.",Образец правды и праведного правления (дхарма-раджа).,gold
bhima,"Бхимасена — могучий Пандав, преданный слуга Кришны.","Бхима, сын Ваю, обладал необычайной силой и сразил Дурьодхану и Духшасану; его преданность Кришне была беззаветна.",Явил преданность в настроении доблести и служения.,gold
nakula,"Четвёртый из братьев Пандавов, сын Мадри; прославлен красотой и воинским искусством, преданный Кришне.","Шри Накула — четвёртый из пяти братьев Пандавов, сын Мадри, рождённый милостью небесных Ашвини-кумаров. Вместе с братьями он был преданным Господа Кришны.","Накула славился несравненной красотой и искусством владения мечом и конями. Вместе со своими братьями-Пандавами он хранил верность дхарме и принял прибежище у Господа Кришны, который вёл их через все испытания. Его жизнь являет образец воина, чья доблесть подчинена праведности и преданности Богу.",gold
sahadeva,"Младший из братьев Пандавов, близнец Накулы; прославлен мудростью и учёностью, преданный Кришне.","Шри Сахадева — младший из пяти братьев Пандавов, близнец Накулы, сын Мадри. Вместе с братьями он был преданным Господа Кришны.","Сахадева славился мудростью, учёностью и знанием будущего, почитаясь самым проницательным из Пандавов. Вместе со своими братьями он хранил верность дхарме и принял прибежище у Господа Кришны. Его жизнь являет образец того, как знание и рассудительность подчиняются преданности Богу.",gold
draupadi,"Драупади — супруга Пандавов, великая преданная Кришны.","Драупади, рождённая из жертвенного огня, в час позора призвала Кришну, и Он защитил её честь бесконечной тканью.",Образец предания: воззвала к Кришне — и была спасена.,gold
abhimanyu,Абхиманью — доблестный сын Арджуны и Субхадры.,"Абхиманью, юный герой, бесстрашно вошёл в боевой строй чакра-вьюху и геройски пал на Курукшетре.",Явил беспримерную доблесть на Курукшетре.,gold
vidura,"Видура — воплощение Ямараджи, великий преданный и советник.","Видура, мудрый советник Хастинапура и воплощение Ямараджи, бесстрашно говорил правду царям и принял знание от Майтреи; Кришна гостил в его доме, отвергнув пиры Дурьодханы.",Образец преданного советника; принял Кришну в своём доме.,gold
maitreya,"Великий мудрец, поведавший Видуре сокровенное знание о творении и преданности; повествователь Третьей песни «Бхагаватам».","Шри Майтрея — великий мудрец, ученик Парашары и хранитель ведической мудрости. Его беседа с Видурой составляет значительную часть Третьей песни «Шримад-Бхагаватам».","Когда Видура, странствуя по святым местам, искал высшего знания, мудрец Майтрея даровал ему сокровенное учение о творении вселенной, воплощениях Господа и пути преданности. Его слова, исполненные глубины, — один из источников «Бхагаватам». Майтрея являет образец мудреца, передающего чистое знание достойному ученику.",gold
janaka,"Царь-мудрец Митхилы; один из двенадцати махаджан и образец отрешённого действия, отец Ситы.","Шри Джанака — прославленный царь-мудрец Митхилы и один из двенадцати махаджан. Он являл совершенный образец самоосознавшей души, живущей в миру и правящей царством без малейшей привязанности.","Хотя Джанака был царём, обременённым делами правления, он оставался полностью отрешённым и самоосознавшим, действуя лишь как исполнение долга. В „Бхагавад-гите“ Сам Кришна приводит его в пример как того, кто достиг совершенства через бескорыстное исполнение обязанностей. Он был отцом Ситы, супруги Господа Рамачандры, и известен как Видеха — „пребывающий вне отождествления с телом“.",gold
prithu,"Махараджа Притху — шактьявеша-аватара, идеальный царь.","Махараджа Притху, наделённый силой Господа, выровнял Землю и наладил процветание подданных, явив образец царственного служения.",Явил идеал царя как слуги Господа и народа.,gold
rishabha,"Господь Ришабхадева — аватара Господа, учитель отречения.",Господь Ришабхадева наставил сыновей в науке самопознания и явил путь крайнего отречения (парамахамса); его сын — Махараджа Бхарата.,Дал наставления об отречении и цели человеческой жизни.,gold
brahma,"Первое сотворённое существо и вторичный творец вселенной; гуна-аватара страсти, один из двенадцати махаджан и глава Брахма-сампрадаи.","Господь Брахма — первое сотворённое существо во вселенной и её вторичный творец, родившийся из лотоса, выросшего из пупка Вишну. Он — гуна-аватара, повелевающий гуной страсти, один из двенадцати махаджан и изначальный учитель Брахма-Мадхва-Гаудия-сампрадаи.","Совершив суровую аскезу, Брахма получил от Господа божественное знание — семя „Шримад-Бхагаватам“ (чатух-шлоки) — и сотворил из него все формы жизни и устройство вселенной. Он передал это знание Нараде, положив начало цепи учителей. Однажды, пытаясь испытать Кришну во Вриндаване, он похитил Его телят и пастушков, но увидел, как Кришна Сам распространился во все эти формы, и, смирившись, вознёс Господу молитвы. Брахма — провозвестник „Брахма-самхиты“, начинающейся словами „говиндам ади-пурушам“.",gold
shiva,"Махадева, величайший из вайшнавов; гуна-аватара разрушения и один из двенадцати махаджан, вечно погружённый в памятование о Господе.","Господь Шива (Махадева) — величайший из вайшнавов и одна из самых почитаемых личностей мироздания. Он — гуна-аватара, повелевающий гуной невежества и разрушением, и один из двенадцати махаджан.","Шива занимает особое, уникальное положение — он не обычная душа, но и не в точности Вишну, подобно молоку, превращённому в простоквашу. В конце творения он разрушает вселенную, а при пахтании Молочного океана, спасая миры, он выпил смертельный яд халахала, отчего его горло посинело (Нилакантха). Вечно погружённый в памятование о святом имени Рамы и Кришны, он являет высший образец отрешённости и преданности.",gold
lakshmi,Богиня процветания и вечная супруга Господа Нараяны; явилась при пахтании Молочного океана и избрала Вишну.,Шримати Лакшми-деви — богиня процветания и вечная супруга Господа Нараяны-Вишну. Она вечно служит лотосным стопам Господа на Вайкунтхе и дарует все блага преданным.,"Лакшми явилась из вод при пахтании Молочного океана и среди всех собравшихся избрала своим вечным Господом Вишну. Её почитают как подательницу всякого богатства и удачи, неотлучно пребывающую при Нараяне. При этом писания повествуют, что, будучи верховной богиней, она всё же не смогла войти в танец раса во Вриндаване, что являет несравненную, недостижимую даже для неё славу любви гопи.",gold
garuda,"Божественный орёл, вечный носитель Господа Вишну; царь птиц и великий преданный в настроении служения.","Шри Гаруда — божественный орёл, вечный носитель (вахана) Господа Вишну-Нараяны, и царь всех птиц. Он — великий преданный, чьё служение — нести Господа всюду, куда Он пожелает.","Гаруда вечно несёт на себе Господа Вишну, мгновенно перенося Его в любое место мироздания, где требуется Его присутствие. Его почитают как живое воплощение Вед, и само его появление обращает в бегство змей и злые силы. Великий преданный в настроении служения, Гаруда являет, что нести Господа и исполнять Его волю — высшее счастье и предназначение.",gold
yamaraja,"Владыка смерти и дхармы, вершащий правосудие над душами; один из двенадцати махаджан и знаток науки преданности.","Шри Ямараджа — повелитель смерти и справедливости, сын бога Солнца и брат реки Ямуны. Он — один из двенадцати махаджан и великий преданный, в совершенстве знающий сокровенную науку преданного служения.","Ямараджа вершит беспристрастное правосудие над ушедшими душами, воздавая каждому по его делам согласно дхарме. В истории Аджамилы он наставил своих посланников (ямадутов), что преданные Господа неподвластны его суду, и прославил могущество святого имени. Именно Ямараджа перечисляет двенадцать махаджан, открывая, что путь, указанный этими великими душами, и есть истинная религия.",gold
